ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
73032500,50플러스센터교육,모집예정,[양성과정] 스마트 홈 수리 양성과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-25,2026-05-26,2026-06-25,,32,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-26,2026-08-07,용산센터,,양진영,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73032500&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73032500&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73030842,50플러스센터교육,모집예정,[창업] 이모티콘 만들기 창업지원 과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-16,2026-05-26,2026-06-16,,23,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-17,2026-08-05,용산센터,,이광욱,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73030842&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73030842&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73028072,50플러스센터교육,모집예정,[양성과정] 중장년을 위한 나만의 전문분야 강사양성,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-18,2026-05-26,2026-06-18,,25,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,100000,100000원,2026-06-19,2026-08-28,용산센터,,김서은,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73028072&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73028072&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73024693,50플러스센터교육,모집예정,"[양성과정] 함께 쓰니 두렵지 않은, 생애 첫 공동 출판",용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-16,2026-05-26,2026-06-16,,23,12,72751743,일활동지원,CHARGED_CONFIRM,유료,,,100000,100000원,2026-06-17,2026-08-26,용산센터,,박종국,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73024693&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73024693&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73021487,50플러스센터교육,모집예정,[양성과정] 비건요리 강사 양성과정 (우리집이 최고의 병원입니다),용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-11,2026-05-26,2026-06-11,,18,16,72751743,일활동지원,CHARGED_CONFIRM,유료,,,100000,100000원,2026-06-12,2026-08-28,용산센터,,강성미,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73021487&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73021487&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73018539,50플러스센터교육,모집예정,[창업]  카페 디저트 창업 & 제빵 실무,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-07-05,2026-05-26,2026-07-05,,42,15,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-07-06,2026-08-31,용산센터,,오은경,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73018539&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73018539&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73016287,50플러스센터교육,모집예정,[베테랑] 카페 바리스타 양성과정 (바리스타 자격증부터 카페 창업까지),용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-18,2026-05-26,2026-06-18,,25,12,72751743,일활동지원,CHARGED_CONFIRM,유료,,,100000,100000원,2026-06-19,2026-08-28,용산센터,,최정현,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73016287&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73016287&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73014221,50플러스센터교육,모집예정,[창업] 펫푸드 수제공방 & 펫푸드샵 창업과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-24,2026-05-26,2026-06-24,,31,15,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-25,2026-08-13,용산센터,,문유진,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73014221&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73014221&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73012548,50플러스센터교육,모집예정,[창업] SNS 인스타 공구 인플루언서 실전 입문,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2027-06-29,2026-05-26,2027-06-29,,401,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-30,2026-08-18,용산센터,,권소영,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73012548&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73012548&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73009399,50플러스센터교육,모집예정,[AI·디지털] 유튜브 크리에이터 전문지도사 양성과정,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-15,2026-05-26,2026-06-15,,22,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-16,2026-08-04,용산센터,,최광백,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73009399&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73009399&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73007518,50플러스센터교육,모집예정,"[AI·디지털] 요즘 콘텐츠, AI활용 숏폼 만들기",용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-18,2026-05-26,2026-06-18,,25,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-19,2026-07-31,용산센터,,이연석,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73007518&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73007518&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72996777,50플러스센터교육,모집예정,[AI·디지털] 구글 인텔리전스 200% 업무·생활 활용법,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-16,2026-05-26,2026-06-16,,23,20,72751743,일활동지원,CHARGED_CONFIRM,유료,,,40000,40000원,2026-06-17,2026-07-22,용산센터,,조은영,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=72996777&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72996777&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
